,company,name,ticker,date,brand,sales,transactions
4408287,Lyft,Lyft,LYFT,2014-10-05,Lyft Rides,32574,2443.0
4411993,Lyft,Lyft,LYFT,2014-10-05,Motivate,0,0.0
4410140,Lyft,Lyft,LYFT,2014-10-05,Lyft Scooters,0,0.0
4408288,Lyft,Lyft,LYFT,2014-10-06,Lyft Rides,19008,1397.0
4411994,Lyft,Lyft,LYFT,2014-10-06,Motivate,0,0.0
4410141,Lyft,Lyft,LYFT,2014-10-06,Lyft Scooters,0,0.0
4408289,Lyft,Lyft,LYFT,2014-10-07,Lyft Rides,13013,1042.0
4411995,Lyft,Lyft,LYFT,2014-10-07,Motivate,0,0.0
4410142,Lyft,Lyft,LYFT,2014-10-07,Lyft Scooters,0,0.0
4408290,Lyft,Lyft,LYFT,2014-10-08,Lyft Rides,17481,1377.0
4411996,Lyft,Lyft,LYFT,2014-10-08,Motivate,0,0.0
4410143,Lyft,Lyft,LYFT,2014-10-08,Lyft Scooters,0,0.0
4411997,Lyft,Lyft,LYFT,2014-10-09,Motivate,0,0.0
4410144,Lyft,Lyft,LYFT,2014-10-09,Lyft Scooters,0,0.0
4408291,Lyft,Lyft,LYFT,2014-10-09,Lyft Rides,19649,1615.0
4410145,Lyft,Lyft,LYFT,2014-10-10,Lyft Scooters,0,0.0
4408292,Lyft,Lyft,LYFT,2014-10-10,Lyft Rides,27089,2110.0
4411998,Lyft,Lyft,LYFT,2014-10-10,Motivate,0,0.0
4410146,Lyft,Lyft,LYFT,2014-10-11,Lyft Scooters,0,0.0
4408293,Lyft,Lyft,LYFT,2014-10-11,Lyft Rides,40148,2966.0
4411999,Lyft,Lyft,LYFT,2014-10-11,Motivate,0,0.0
4410147,Lyft,Lyft,LYFT,2014-10-12,Lyft Scooters,0,0.0
4408294,Lyft,Lyft,LYFT,2014-10-12,Lyft Rides,34910,2617.0
4412000,Lyft,Lyft,LYFT,2014-10-12,Motivate,0,0.0
4410148,Lyft,Lyft,LYFT,2014-10-13,Lyft Scooters,0,0.0
4412001,Lyft,Lyft,LYFT,2014-10-13,Motivate,0,0.0
4408295,Lyft,Lyft,LYFT,2014-10-13,Lyft Rides,20518,1594.0
4412002,Lyft,Lyft,LYFT,2014-10-14,Motivate,0,0.0
4410149,Lyft,Lyft,LYFT,2014-10-14,Lyft Scooters,0,0.0
4408296,Lyft,Lyft,LYFT,2014-10-14,Lyft Rides,18134,1404.0
4412003,Lyft,Lyft,LYFT,2014-10-15,Motivate,0,0.0
4410150,Lyft,Lyft,LYFT,2014-10-15,Lyft Scooters,0,0.0
4408297,Lyft,Lyft,LYFT,2014-10-15,Lyft Rides,18119,1446.0
4412004,Lyft,Lyft,LYFT,2014-10-16,Motivate,0,0.0
4410151,Lyft,Lyft,LYFT,2014-10-16,Lyft Scooters,0,0.0
4408298,Lyft,Lyft,LYFT,2014-10-16,Lyft Rides,18488,1542.0
4410152,Lyft,Lyft,LYFT,2014-10-17,Lyft Scooters,0,0.0
4408299,Lyft,Lyft,LYFT,2014-10-17,Lyft Rides,27549,2242.0
4412005,Lyft,Lyft,LYFT,2014-10-17,Motivate,0,0.0
4408300,Lyft,Lyft,LYFT,2014-10-18,Lyft Rides,38484,3137.0
4412006,Lyft,Lyft,LYFT,2014-10-18,Motivate,0,0.0
4410153,Lyft,Lyft,LYFT,2014-10-18,Lyft Scooters,0,0.0
4408301,Lyft,Lyft,LYFT,2014-10-19,Lyft Rides,32098,2529.0
4412007,Lyft,Lyft,LYFT,2014-10-19,Motivate,0,0.0
4410154,Lyft,Lyft,LYFT,2014-10-19,Lyft Scooters,0,0.0
4412008,Lyft,Lyft,LYFT,2014-10-20,Motivate,0,0.0
4410155,Lyft,Lyft,LYFT,2014-10-20,Lyft Scooters,0,0.0
4408302,Lyft,Lyft,LYFT,2014-10-20,Lyft Rides,18397,1457.0
4410156,Lyft,Lyft,LYFT,2014-10-21,Lyft Scooters,0,0.0
4408303,Lyft,Lyft,LYFT,2014-10-21,Lyft Rides,18885,1501.0
4412009,Lyft,Lyft,LYFT,2014-10-21,Motivate,0,0.0
4410157,Lyft,Lyft,LYFT,2014-10-22,Lyft Scooters,0,0.0
4408304,Lyft,Lyft,LYFT,2014-10-22,Lyft Rides,20890,1669.0
4412010,Lyft,Lyft,LYFT,2014-10-22,Motivate,0,0.0
4410158,Lyft,Lyft,LYFT,2014-10-23,Lyft Scooters,0,0.0
4408305,Lyft,Lyft,LYFT,2014-10-23,Lyft Rides,20225,1637.0
4412011,Lyft,Lyft,LYFT,2014-10-23,Motivate,0,0.0
4408306,Lyft,Lyft,LYFT,2014-10-24,Lyft Rides,27653,2269.0
4412012,Lyft,Lyft,LYFT,2014-10-24,Motivate,0,0.0
4410159,Lyft,Lyft,LYFT,2014-10-24,Lyft Scooters,0,0.0
4412013,Lyft,Lyft,LYFT,2014-10-25,Motivate,0,0.0
4410160,Lyft,Lyft,LYFT,2014-10-25,Lyft Scooters,0,0.0
4408307,Lyft,Lyft,LYFT,2014-10-25,Lyft Rides,37759,3061.0
4412014,Lyft,Lyft,LYFT,2014-10-26,Motivate,0,0.0
4410161,Lyft,Lyft,LYFT,2014-10-26,Lyft Scooters,0,0.0
4408308,Lyft,Lyft,LYFT,2014-10-26,Lyft Rides,31017,2525.0
4412015,Lyft,Lyft,LYFT,2014-10-27,Motivate,0,0.0
4408309,Lyft,Lyft,LYFT,2014-10-27,Lyft Rides,18957,1526.0
4410162,Lyft,Lyft,LYFT,2014-10-27,Lyft Scooters,0,0.0
4408310,Lyft,Lyft,LYFT,2014-10-28,Lyft Rides,17674,1381.0
4412016,Lyft,Lyft,LYFT,2014-10-28,Motivate,0,0.0
4410163,Lyft,Lyft,LYFT,2014-10-28,Lyft Scooters,0,0.0
4408311,Lyft,Lyft,LYFT,2014-10-29,Lyft Rides,20941,1586.0
4412017,Lyft,Lyft,LYFT,2014-10-29,Motivate,0,0.0
4410164,Lyft,Lyft,LYFT,2014-10-29,Lyft Scooters,0,0.0
4408312,Lyft,Lyft,LYFT,2014-10-30,Lyft Rides,22865,1861.0
4412018,Lyft,Lyft,LYFT,2014-10-30,Motivate,0,0.0
4410165,Lyft,Lyft,LYFT,2014-10-30,Lyft Scooters,0,0.0
4412019,Lyft,Lyft,LYFT,2014-10-31,Motivate,0,0.0
4410166,Lyft,Lyft,LYFT,2014-10-31,Lyft Scooters,0,0.0
4408313,Lyft,Lyft,LYFT,2014-10-31,Lyft Rides,25272,1807.0
4410167,Lyft,Lyft,LYFT,2014-11-01,Lyft Scooters,0,0.0
4408314,Lyft,Lyft,LYFT,2014-11-01,Lyft Rides,69764,4784.0
4412020,Lyft,Lyft,LYFT,2014-11-01,Motivate,0,0.0
4410168,Lyft,Lyft,LYFT,2014-11-02,Lyft Scooters,0,0.0
4408315,Lyft,Lyft,LYFT,2014-11-02,Lyft Rides,33958,2532.0
4412021,Lyft,Lyft,LYFT,2014-11-02,Motivate,0,0.0
4410169,Lyft,Lyft,LYFT,2014-11-03,Lyft Scooters,0,0.0
4412022,Lyft,Lyft,LYFT,2014-11-03,Motivate,0,0.0
4408316,Lyft,Lyft,LYFT,2014-11-03,Lyft Rides,20603,1503.0
4412023,Lyft,Lyft,LYFT,2014-11-04,Motivate,0,0.0
4410170,Lyft,Lyft,LYFT,2014-11-04,Lyft Scooters,0,0.0
4408317,Lyft,Lyft,LYFT,2014-11-04,Lyft Rides,17386,1272.0
4412024,Lyft,Lyft,LYFT,2014-11-05,Motivate,0,0.0
4410171,Lyft,Lyft,LYFT,2014-11-05,Lyft Scooters,0,0.0
4408318,Lyft,Lyft,LYFT,2014-11-05,Lyft Rides,16302,1404.0
4412025,Lyft,Lyft,LYFT,2014-11-06,Motivate,0,0.0
4410172,Lyft,Lyft,LYFT,2014-11-06,Lyft Scooters,0,0.0
4408319,Lyft,Lyft,LYFT,2014-11-06,Lyft Rides,21825,1807.0
